"Team.1","Team.2","Winner","Margin.of.runs","Ground","Match.Date","no.of.sixes"
"Super Kings","Deccan","Super Kings",13,"Chennai","Apr 19, 2012",20
"Super Kings","Royals","Super Kings",14,"Chennai","Apr 21, 2012",17
"RCB","Super Kings","no result",14,"Bengaluru","Apr 25, 2012",21
"Super Kings","Kings XI","Kings XI",7,"Chennai","Apr 28, 2012",14
"Super Kings","KKR","KKR",14,"Chennai","Apr 30, 2012",20
"Super Kings","Tuskers","Super Kings",10,"Chennai","May 4, 2012",16
"Mum Indians","Super Kings","Mum Indians",14,"Mumbai","May 6, 2012",20
"Royals","Super Kings","Super Kings",14,"Jaipur","May 10, 2012",21
"Super Kings","Daredevils","Super Kings",14,"Chennai","May 12, 2012",20
"KKR","Super Kings","Super Kings",14,"Kolkata","May 14, 2012",21
"Kings XI","Super Kings","Kings XI",14,"Dharamsala","May 17, 2012",20
"Super Kings","Mum Indians","Super Kings",38,"Bengaluru","May 23, 2012",21
"Super Kings","Daredevils","Super Kings",86,"Chennai","May 25, 2012",20
"Super Kings","KKR","KKR",14,"Chennai","May 27, 2012",21
"Super Kings","Sixers","Sixers",14,"Johannesburg","Oct 14, 2012",21
"Super Kings","Lions","Lions",14,"Cape Town","Oct 16, 2012",20
"Super Kings","Mum Indians","Super Kings",6,"Johannesburg","Oct 20, 2012",21
"Super Kings","Yorkshire","Super Kings",14,"Durban","Oct 22, 2012",47
"Super Kings","Mum Indians","Mum Indians",9,"Chennai","Apr 6, 2013",15
"Kings XI","Super Kings","Super Kings",14,"Mohali","Apr 10, 2013",20
"Super Kings","RCB","Super Kings",14,"Chennai","Apr 13, 2013",21
"Super Kings","Warriors","Warriors",24,"Chennai","Apr 15, 2013",20
"Daredevils","Super Kings","Super Kings",86,"Delhi","Apr 18, 2013",20
"KKR","Super Kings","Super Kings",14,"Kolkata","Apr 20, 2013",21
"Super Kings","Royals","Super Kings",14,"Chennai","Apr 22, 2013",20
"Super Kings","Sunrisers","Super Kings",14,"Chennai","Apr 25, 2013",21
"Super Kings","KKR","Super Kings",14,"Chennai","Apr 28, 2013",20
"Warriors","Super Kings","Super Kings",37,"Pune","Apr 30, 2013",20
"Super Kings","Kings XI","Super Kings",15,"Chennai","May 2, 2013",14
"Mum Indians","Super Kings","Mum Indians",60,"Mumbai","May 5, 2013",20
"Sunrisers","Super Kings","Super Kings",77,"Hyderabad (Deccan)","May 8, 2013",20
"Royals","Super Kings","Royals",14,"Jaipur","May 12, 2013",19
"Super Kings","Daredevils","Super Kings",33,"Chennai","May 14, 2013",14
"RCB","Super Kings","RCB",24,"Bengaluru","May 18, 2013",16
"Super Kings","Mum Indians","Super Kings",48,"Delhi","May 21, 2013",19
"Super Kings","Mum Indians","Mum Indians",23,"Kolkata","May 26, 2013",20
"Super Kings","Titans","Super Kings",14,"Ranchi","Sep 22, 2013",14
"Super Kings","Sunrisers","Super Kings",12,"Ranchi","Sep 26, 2013",16
"Heat","Super Kings","Super Kings",14,"Ranchi","Sep 28, 2013",19
"Super Kings","Trinidad & T","Trinidad & T",14,"Delhi","Oct 2, 2013",20
"Royals","Super Kings","Royals",14,"Jaipur","Oct 4, 2013",17
"Super Kings","Kings XI","Kings XI",14,"Abu Dhabi","Apr 18, 2014",20
"Super Kings","Daredevils","Super Kings",93,"Abu Dhabi","Apr 21, 2014",14
"Royals","Super Kings","Super Kings",7,"Dubai (DSC)","Apr 23, 2014",16
"Super Kings","Mum Indians","Super Kings",14,"Dubai (DSC)","Apr 25, 2014",19
"Sunrisers","Super Kings","Super Kings",14,"Sharjah","Apr 27, 2014",20
"Super Kings","KKR","Super Kings",34,"Ranchi","May 2, 2014",2
"Daredevils","Super Kings","Super Kings",14,"Delhi","May 5, 2014",6
"Kings XI","Super Kings","Kings XI",44,"Cuttack","May 7, 2014",47
"Mum Indians","Super Kings","Super Kings",4,"Mumbai","May 10, 2014",19
"Super Kings","Royals","Super Kings",5,"Ranchi","May 13, 2014",22
"Super Kings","RCB","RCB",5,"Ranchi","May 18, 2014",2
"KKR","Super Kings","KKR",8,"Kolkata","May 20, 2014",20
"Super Kings","Sunrisers","Sunrisers",6,"Ranchi","May 22, 2014",19
"RCB","Super Kings","Super Kings",8,"Bengaluru","May 24, 2014",2
"Mum Indians","Super Kings","Super Kings",7,"Mumbai (BS)","May 28, 2014",19
"Super Kings","Kings XI","Kings XI",24,"Mumbai","May 30, 2014",14
"Super Kings","KKR","KKR",14,"Hyderabad (Deccan)","Sep 17, 2014",16
"Super Kings","Dolphins","Super Kings",54,"Bengaluru","Sep 22, 2014",19
"Super Kings","Scorchers","Super Kings",13,"Bengaluru","Sep 27, 2014",20
"Kings XI","Super Kings","Super Kings",65,"Hyderabad (Deccan)","Oct 2, 2014",20
"Super Kings","KKR","Super Kings",14,"Bengaluru","Oct 4, 2014",18
"Super Kings","Daredevils","Super Kings",1,"Chennai","Apr 9, 2015",15
"Super Kings","Sunrisers","Super Kings",45,"Chennai","Apr 11, 2015",47
"Mum Indians","Super Kings","Super Kings",14,"Mumbai","Apr 17, 2015",20
"Royals","Super Kings","Royals",14,"Ahmedabad","Apr 19, 2015",17
"RCB","Super Kings","Super Kings",27,"Bengaluru","Apr 22, 2015",22
"Super Kings","Kings XI","Super Kings",97,"Chennai","Apr 25, 2015",14
"Super Kings","KKR","Super Kings",2,"Chennai","Apr 28, 2015",16
"KKR","Super Kings","KKR",14,"Kolkata","Apr 30, 2015",19
"Sunrisers","Super Kings","Sunrisers",22,"Hyderabad (Deccan)","May 2, 2015",20
"Super Kings","RCB","Super Kings",24,"Chennai","May 4, 2015",15
"Super Kings","Mum Indians","Mum Indians",14,"Chennai","May 8, 2015",14
"Super Kings","Royals","Super Kings",12,"Chennai","May 10, 2015",16
"Daredevils","Super Kings","Daredevils",14,"Raipur","May 12, 2015",19
"Kings XI","Super Kings","Super Kings",14,"Mohali","May 16, 2015",14
"Super Kings","Mum Indians","Mum Indians",25,"Mumbai","May 19, 2015",16
"Super Kings","RCB","Super Kings",14,"Ranchi","May 22, 2015",19
"Super Kings","Mum Indians","Mum Indians",41,"Kolkata","May 24, 2015",18
"Mum Indians","Super Kings","Super Kings",14,"Mumbai","Apr 7, 2018",14
"Super Kings","KKR","Super Kings",14,"Chennai","Apr 10, 2018",16
"Kings XI","Super Kings","Kings XI",14,"Mohali","Apr 15, 2018",19
"Super Kings","Royals","Super Kings",64,"Pune","Apr 20, 2018",20
"Sunrisers","Super Kings","Super Kings",14,"Hyderabad (Deccan)","Apr 22, 2018",20
"RCB","Super Kings","Super Kings",14,"Bengaluru","Apr 25, 2018",14
"Super Kings","Mum Indians","Mum Indians",14,"Pune","Apr 28, 2018",16
"Super Kings","Daredevils","Super Kings",13,"Pune","Apr 30, 2018",19
"KKR","Super Kings","KKR",14,"Kolkata","May 3, 2018",19
"Super Kings","RCB","Super Kings",14,"Pune","May 5, 2018",26
"Royals","Super Kings","Royals",14,"Jaipur","May 11, 2018",25
"Super Kings","Sunrisers","Super Kings",14,"Pune","May 13, 2018",14
"Daredevils","Super Kings","Daredevils",34,"Delhi","May 18, 2018",2
"Super Kings","Kings XI","Super Kings",5,"Pune","May 20, 2018",22
"Super Kings","Sunrisers","Super Kings",2,"Mumbai","May 22, 2018",27
"Super Kings","Sunrisers","Super Kings",8,"Mumbai","May 27, 2018",28
"Super Kings","RCB","Super Kings",7,"Chennai","Mar 23, 2019",10
"Capitals","Super Kings","Super Kings",6,"Delhi","Mar 26, 2019",29
"Super Kings","Royals","Super Kings",8,"Chennai","Mar 31, 2019",40
"Mum Indians","Super Kings","Mum Indians",37,"Mumbai","Apr 3, 2019",21
"Super Kings","Kings XI","Super Kings",22,"Chennai","Apr 6, 2019",16
"Super Kings","KKR","Super Kings",7,"Chennai","Apr 9, 2019",14
"Royals","Super Kings","Super Kings",4,"Jaipur","Apr 11, 2019",16
"KKR","Super Kings","Super Kings",5,"Kolkata","Apr 14, 2019",19
"Sunrisers","Super Kings","Sunrisers",6,"Hyderabad (Deccan)","Apr 17, 2019",18
"RCB","Super Kings","RCB",1,"Bengaluru","Apr 21, 2019",15
"Super Kings","Sunrisers","Super Kings",6,"Chennai","Apr 23, 2019",14
"Super Kings","Mum Indians","Mum Indians",46,"Chennai","Apr 26, 2019",16
"Super Kings","Capitals","Super Kings",80,"Chennai","May 1, 2019",19
"Kings XI","Super Kings","Kings XI",6,"Mohali","May 5, 2019",17
"Super Kings","Mum Indians","Mum Indians",6,"Chennai","May 7, 2019",15
"Super Kings","Capitals","Super Kings",6,"Visakhapatnam","May 10, 2019",17
"Super Kings","Mum Indians","Mum Indians",1,"Hyderabad (Deccan)","May 12, 2019",17
"Mum Indians","Super Kings","Super Kings",5,"Abu Dhabi","Sep 19, 2020",17
"Royals","Super Kings","Royals",16,"Sharjah","Sep 22, 2020",17
"Super Kings","Capitals","Capitals",44,"Dubai (DSC)","Sep 25, 2020",14
"Super Kings","Sunrisers","Sunrisers",7,"Dubai (DSC)","Oct 2, 2020",16
"Kings XI","Super Kings","Super Kings",10,"Dubai (DSC)","Oct 4, 2020",19
"KKR","Super Kings","KKR",10,"Abu Dhabi","Oct 7, 2020",20
"Super Kings","RCB","RCB",37,"Dubai (DSC)","Oct 10, 2020",21
"Sunrisers","Super Kings","Super Kings",20,"Dubai (DSC)","Oct 13, 2020",20
"Capitals","Super Kings","Capitals",5,"Sharjah","Oct 17, 2020",17
"Super Kings","Royals","Royals",7,"Abu Dhabi","Oct 19, 2020",16
"Super Kings","Mum Indians","Mum Indians",10,"Sharjah","Oct 23, 2020",14
"RCB","Super Kings","Super Kings",8,"Dubai (DSC)","Oct 25, 2020",16
"Super Kings","KKR","Super Kings",6,"Dubai (DSC)","Oct 29, 2020",19
"Super Kings","Kings XI","Super Kings",9,"Abu Dhabi","Nov 1, 2020",15
"Super Kings","Capitals","Capitals",7,"Mumbai","Apr 10, 2021",16
"Punjab Kings","Super Kings","Super Kings",6,"Mumbai","Apr 16, 2021",14
"Super Kings","Royals","Super Kings",45,"Mumbai","Apr 19, 2021",16
"KKR","Super Kings","Super Kings",18,"Mumbai","Apr 21, 2021",19
"Super Kings","RCB","Super Kings",69,"Mumbai","Apr 25, 2021",14
"Super Kings","Sunrisers","Super Kings",4,"Delhi","Apr 28, 2021",16
"Mum Indians","Super Kings","Mum Indians",7,"Delhi","May 1, 2021",19
